listing_id,room_type,property_type,accommodates,bedrooms,minimum_nights,maximum_nights,instant_bookable,bathrooms,is_superhost,count,name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,sum_future_available_days_30d,avg_future_available_days_30d,high_demand_proxy,cutoff_date,version
49844875,Entire home/apt,Entire rental unit,0.2,0.11764705882352941,0.001,1.0,False,1.5,False,1,Bos en Lommer,0.0,0.0,4358.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,0,0.0,1,2025-12-10,v1
49845424,Entire home/apt,Entire condo,0.2,0.17647058823529413,0.003,0.012455516014234875,False,1.5,False,1,Zuid,6.0,6.0,141.0,0,0.0,5.142857142857143,15.0,0,0.0,5.129032258064516,15.0,0,0.0,1,2025-12-10,v1
49846930,Entire home/apt,Entire condo,0.06666666666666667,0.058823529411764705,0.001,0.6485765124555161,False,1,False,1,Bos en Lommer,17.0,17.0,798.0,0,0.0,2.0,730.0,0,0.0,2.0,730.0,0,0.0,1,2025-12-10,v1
49867500,Private room,Private room in serviced apartment,0.06666666666666667,0.058823529411764705,0.001,0.004448398576512456,True,1,False,2,Centrum-West,247.0,247.0,108.0,48,0.5274725274725275,2.0,1125.0,21,0.6774193548387096,2.0,1125.0,27,0.9,0,2025-12-10,v1
49874875,Entire home/apt,Entire rental unit,0.2,0.058823529411764705,0.001,0.3238434163701068,True,1,False,1,Bos en Lommer,38.0,38.0,171.0,7,0.07692307692307693,2.0,1125.0,0,0.0,2.0,1125.0,21,0.7,0,2025-12-10,v1
49880878,Entire home/apt,Entire condo,0.2,0.17647058823529413,0.002,0.025800711743772242,False,1.5,False,1,Oud-Oost,13.0,13.0,403.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,0,0.0,1,2025-12-10,v1
49882262,Entire home/apt,Entire home,0.06666666666666667,0.11764705882352941,0.002,0.012455516014234875,False,1,False,1,Watergraafsmeer,16.0,16.0,710.0,0,0.0,3.0,15.0,0,0.0,3.0,15.0,0,0.0,1,2025-12-10,v1
49892420,Entire home/apt,Entire condo,0.2,0.11764705882352941,0.001,0.0008896797153024911,False,1,False,1,De Baarsjes - Oud-West,20.0,20.0,108.0,0,0.0,2.0,2.0,0,0.0,2.0,2.0,0,0.0,1,2025-12-10,v1
49927889,Private room,Private room in condo,0.0,0.0,0.001,0.05249110320284697,False,1,True,2,Buitenveldert - Zuidas,156.0,156.0,105.0,59,0.6483516483516484,2.0,1125.0,31,1.0,2.0,1125.0,30,1.0,0,2025-12-10,v1
49940021,Private room,Room in hotel,0.06666666666666667,0.058823529411764705,0.0,0.3193950177935943,True,1,False,7,Oud-Oost,51.0,51.0,107.0,71,0.7802197802197802,1.010989010989011,1000.0,30,0.967741935483871,1.0,1000.0,30,1.0,0,2025-12-10,v1
49940100,Private room,Room in hotel,0.06666666666666667,0.058823529411764705,0.0,0.3193950177935943,True,1,False,7,Oud-Oost,6.0,6.0,309.0,41,0.45054945054945056,1.0,1000.0,16,0.5161290322580645,1.0,1000.0,28,0.9333333333333333,0,2025-12-10,v1
49940198,Private room,Room in hotel,0.06666666666666667,0.058823529411764705,0.0,0.3193950177935943,True,1,False,7,Oud-Oost,8.0,8.0,351.0,54,0.5934065934065934,1.010989010989011,1000.0,28,0.9032258064516129,1.0,1000.0,30,1.0,0,2025-12-10,v1
